id;survey_id;group;code;name
1;1;1;4;Jagung
2;1;1;5;Kedelai
3;1;1;6;Kacang Tanah
4;1;1;7;Ubi Kayu
5;1;1;8;Ubi Jalar
6;1;1;9;Non Konsentrasi
7;2;1;01;Makanan
8;2;1;02;Minuman
9;2;1;03;Olah Tembakau
10;2;4;04;Tekstil
11;2;4;05;Pakaian Jadi
12;2;4;06;Kulit/Alas Kaki
13;2;7;07;Kayu/Brg Rotan
14;2;8;08;Kertas & Sejenis
15;2;8;09;Cetak & Rekaman
16;2;10;10;Batubara & MBumi
17;2;11;11;Kimia & Sejenis
18;2;11;12;Farmasi & Jamu
19;2;7;13;Karet & Plastik
20;2;10;14;Galian Non Lgm
21;2;10;15;Logam Dasar
22;2;10;16;Logam non Mesin
23;2;17;17;Komputer & Optik
24;2;17;18;Alat Listrik
25;2;19;19;Mesin & YTDL
26;2;19;20;Motor
27;2;19;21;Angkutan Lainnya
28;2;7;22;Furnitur
29;2;0;23;Olah Lainnya
30;2;23;24;Jasa Reparasi Mesin
31;2;0;25;Non Konsentrasi
